
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34321.950000 2047   22 18 07.77874  114 11 19.33207        3.852        0.000        0.000     0.006    -0.006     0.006 3      2.71610    0.51840  205.06020
 34322.050000 2047   22 18 07.77843  114 11 19.33494        3.854        0.000        0.000    -0.008     0.000     0.002 3      2.70860    0.52060  205.06110
 34322.150000 2047   22 18 07.77843  114 11 19.33499        3.855        0.000        0.000     0.004    -0.003     0.004 3      2.71420    0.51730  205.06050
 34322.250000 2047   22 18 07.77842  114 11 19.33503        3.855        0.000        0.000    -0.010     0.002     0.004 3      2.71040    0.51740  205.06070
 34322.350000 2047   22 18 07.77842  114 11 19.33508        3.855        0.000        0.000     0.002    -0.007     0.003 3      2.71600    0.51430  205.06030
 34322.450000 2047   22 18 07.77841  114 11 19.33513        3.855        0.000        0.000    -0.010    -0.001     0.003 3      2.70860    0.51980  205.06050
 34322.550000 2047   22 18 07.77840  114 11 19.33518        3.855        0.000        0.000     0.004    -0.010     0.003 3      2.71460    0.51660  205.06020
 34322.650000 2047   22 18 07.77840  114 11 19.33523        3.855        0.000        0.000    -0.008    -0.004     0.003 3      2.70810    0.52050  205.06080
 34322.750000 2047   22 18 07.77839  114 11 19.33527        3.855        0.000        0.000     0.002    -0.006     0.006 3      2.71490    0.51800  205.06040
 34322.850000 2047   22 18 07.77838  114 11 19.33532        3.855        0.000        0.000    -0.007    -0.001     0.000 3      2.70950    0.51950  205.06110
 34322.950000 2047   22 18 07.77837  114 11 19.33537        3.855        0.000        0.000     0.001    -0.007     0.010 3      2.71450    0.51600  205.06070
 34323.050000 2047   22 18 07.77836  114 11 19.33541        3.855        0.000        0.000    -0.008     0.000    -0.001 3      2.70680    0.51730  205.06110
 34323.150000 2047   22 18 07.77835  114 11 19.33546        3.856        0.000        0.000    -0.002    -0.008     0.012 3      2.71420    0.51420  205.06010
 34323.250000 2047   22 18 07.77834  114 11 19.33550        3.856        0.000        0.000    -0.006    -0.006    -0.005 3      2.70800    0.51890  205.06170
 34323.350000 2047   22 18 07.77833  114 11 19.33555        3.856        0.000        0.000    -0.003    -0.007     0.014 3      2.71260    0.51770  205.06080
 34323.450000 2047   22 18 07.77832  114 11 19.33559        3.856        0.000        0.000    -0.004    -0.006    -0.007 3      2.70850    0.51840  205.06180
 34323.550000 2047   22 18 07.77831  114 11 19.33563        3.856        0.000        0.000    -0.008    -0.005     0.017 3      2.71330    0.51700  205.06130
 34323.650000 2047   22 18 07.77829  114 11 19.33567        3.856        0.000        0.000    -0.004    -0.003    -0.009 3      2.70890    0.51460  205.06130
 34323.750000 2047   22 18 07.77828  114 11 19.33571        3.857        0.000        0.000    -0.009    -0.006     0.017 3      2.71370    0.51400  205.06000
 34323.850000 2047   22 18 07.77826  114 11 19.33575        3.857        0.000        0.000    -0.004    -0.007    -0.008 3      2.71040    0.51370  205.06100
 34323.950000 2047   22 18 07.77825  114 11 19.33578        3.857        0.000        0.000    -0.010    -0.007     0.017 3      2.71360    0.51340  205.05970
 34324.050000 2047   22 18 07.77824  114 11 19.33582        3.857        0.000        0.000     0.005    -0.006    -0.009 3      2.71050    0.52260  205.05990
 34324.150000 2047   22 18 07.77824  114 11 19.33583        3.857        0.000        0.000    -0.007     0.000     0.018 3      2.70910    0.52630  205.05940
 34324.250000 2047   22 18 07.77824  114 11 19.33585        3.858        0.000        0.000     0.005    -0.003    -0.007 3      2.70900    0.52220  205.05980
 34324.350000 2047   22 18 07.77824  114 11 19.33586        3.858        0.000        0.000    -0.009     0.002     0.014 3      2.70830    0.52320  205.05980
 34324.450000 2047   22 18 07.77823  114 11 19.33587        3.858        0.000        0.000     0.005    -0.004    -0.001 3      2.70980    0.52140  205.05990
 34324.550000 2047   22 18 07.77823  114 11 19.33589        3.858        0.000        0.000    -0.009     0.000     0.007 3      2.70590    0.52350  205.06010
 34324.650000 2047   22 18 07.77823  114 11 19.33590        3.858        0.000        0.000     0.004    -0.007     0.004 3      2.71130    0.52090  205.06030
 34324.750000 2047   22 18 07.77823  114 11 19.33591        3.858        0.000        0.000    -0.007     0.000     0.004 3      2.70470    0.52440  205.06050
 34324.850000 2047   22 18 07.77823  114 11 19.33593        3.859        0.000        0.000     0.003    -0.007     0.007 3      2.71210    0.52150  205.06010
 34324.950000 2047   22 18 07.77823  114 11 19.33594        3.859        0.000        0.000    -0.007     0.001     0.001 3      2.70530    0.52450  205.06070
 34325.050000 2047   22 18 07.77821  114 11 19.33608        3.861        0.000        0.000     0.001    -0.004     0.012 3      2.71010    0.51980  205.05940
 34325.150000 2047   22 18 07.77820  114 11 19.33610        3.861        0.000        0.000    -0.007    -0.001    -0.003 3      2.70700    0.52180  205.06120
 34325.250000 2047   22 18 07.77820  114 11 19.33613        3.862        0.000        0.000    -0.002    -0.005     0.015 3      2.71030    0.52000  205.05970
 34325.350000 2047   22 18 07.77819  114 11 19.33615        3.862        0.000        0.000    -0.003    -0.003    -0.005 3      2.70460    0.52230  205.06060
 34325.450000 2047   22 18 07.77819  114 11 19.33617        3.862        0.000        0.000    -0.001    -0.008     0.017 3      2.71090    0.52170  205.06020
 34325.550000 2047   22 18 07.77818  114 11 19.33620        3.863        0.000        0.000    -0.004    -0.002    -0.005 3      2.70400    0.52500  205.06130
 34325.650000 2047   22 18 07.77817  114 11 19.33622        3.863        0.000        0.000    -0.001    -0.004     0.018 3      2.70910    0.52020  205.05960
 34325.750000 2047   22 18 07.77817  114 11 19.33624        3.864        0.000        0.000    -0.004    -0.001    -0.007 3      2.70580    0.52210  205.06140
 34325.850000 2047   22 18 07.77816  114 11 19.33626        3.864        0.000        0.000    -0.007    -0.002     0.020 3      2.71190    0.52030  205.06030
 34325.950000 2047   22 18 07.77815  114 11 19.33628        3.865        0.000        0.000    -0.003    -0.005    -0.007 3      2.71040    0.51730  205.06020
 34326.050000 2047   22 18 07.77814  114 11 19.33630        3.865        0.000        0.000    -0.005    -0.006     0.019 3      2.71400    0.51730  205.05900
 34326.150000 2047   22 18 07.77814  114 11 19.33632        3.865        0.000        0.000     0.002    -0.005    -0.007 3      2.70900    0.52070  205.06040
 34326.250000 2047   22 18 07.77813  114 11 19.33634        3.866        0.000        0.000    -0.007    -0.005     0.019 3      2.71120    0.51910  205.05910
 34326.350000 2047   22 18 07.77811  114 11 19.33636        3.866        0.000        0.000     0.001    -0.005    -0.007 3      2.71000    0.51840  205.06080
 34326.450000 2047   22 18 07.77811  114 11 19.33638        3.867        0.000        0.000    -0.008     0.000     0.019 3      2.70990    0.51860  205.06010
 34326.550000 2047   22 18 07.77809  114 11 19.33641        3.867        0.000        0.000     0.002    -0.006    -0.006 3      2.70850    0.51660  205.06060
 34326.650000 2047   22 18 07.77808  114 11 19.33643        3.868        0.000        0.000    -0.011    -0.002     0.016 3      2.70640    0.51870  205.06040
 34326.750000 2047   22 18 07.77807  114 11 19.33645        3.868        0.000        0.000     0.003    -0.008    -0.003 3      2.70740    0.51710  205.06070
 34326.850000 2047   22 18 07.77806  114 11 19.33647        3.869        0.000        0.000    -0.010    -0.005     0.014 3      2.70580    0.52020  205.06020
 34326.950000 2047   22 18 07.77805  114 11 19.33650        3.869        0.000        0.000     0.004    -0.008     0.000 3      2.70790    0.51760  205.06150
 34327.050000 2047   22 18 07.77804  114 11 19.33652        3.870        0.000        0.000    -0.009     0.000     0.011 3      2.70360    0.52020  205.05930
 34327.150000 2047   22 18 07.77804  114 11 19.33652        3.870        0.000        0.000     0.005    -0.009     0.000 3      2.71080    0.51580  205.06110
 34327.250000 2047   22 18 07.77803  114 11 19.33652        3.870        0.000        0.000    -0.009    -0.002     0.011 3      2.70200    0.51720  205.06020
 34327.350000 2047   22 18 07.77802  114 11 19.33653        3.870        0.000        0.000     0.005    -0.008     0.003 3      2.70430    0.51320  205.05940
 34327.450000 2047   22 18 07.77801  114 11 19.33653        3.871        0.000        0.000    -0.012    -0.005     0.007 3      2.70220    0.51730  205.06090
 34327.550000 2047   22 18 07.77800  114 11 19.33654        3.871        0.000        0.000     0.002    -0.011     0.006 3      2.71130    0.51600  205.05920
 34327.650000 2047   22 18 07.77799  114 11 19.33654        3.871        0.000        0.000    -0.006    -0.005     0.005 3      2.70410    0.51900  205.05960
 34327.750000 2047   22 18 07.77798  114 11 19.33654        3.871        0.000        0.000     0.003    -0.010     0.009 3      2.70920    0.51840  205.06010
 34327.850000 2047   22 18 07.77797  114 11 19.33654        3.872        0.000        0.000    -0.009    -0.001     0.003 3      2.70310    0.51940  205.05980
 34327.950000 2047   22 18 07.77796  114 11 19.33655        3.872        0.000        0.000     0.004    -0.009     0.012 3      2.70990    0.51390  205.06010
 34328.050000 2047   22 18 07.77784  114 11 19.33657        3.875        0.000        0.000    -0.009    -0.004     0.005 3      2.70400    0.51910  205.05970
 34328.150000 2047   22 18 07.77781  114 11 19.33658        3.876        0.000        0.000     0.003    -0.010     0.011 3      2.70680    0.51540  205.05980
 34328.250000 2047   22 18 07.77778  114 11 19.33658        3.877        0.000        0.000    -0.010    -0.006     0.005 3      2.70270    0.51690  205.06010
 34328.350000 2047   22 18 07.77775  114 11 19.33658        3.878        0.000        0.000     0.002    -0.014     0.012 3      2.71090    0.51730  205.06020
 34328.450000 2047   22 18 07.77773  114 11 19.33658        3.878        0.000        0.000    -0.008    -0.005     0.005 3      2.70250    0.52010  205.06140
 34328.550000 2047   22 18 07.77769  114 11 19.33659        3.879        0.000        0.000     0.002    -0.012     0.015 3      2.71000    0.51560  205.05970
 34328.650000 2047   22 18 07.77766  114 11 19.33658        3.880        0.000        0.000    -0.010    -0.005     0.004 3      2.70150    0.52120  205.06140
 34328.750000 2047   22 18 07.77763  114 11 19.33658        3.881        0.000        0.000    -0.002    -0.010     0.016 3      2.70890    0.51570  205.05980
 34328.850000 2047   22 18 07.77760  114 11 19.33658        3.882        0.000        0.000    -0.010    -0.008     0.005 3      2.70510    0.51450  205.06030
 34328.950000 2047   22 18 07.77756  114 11 19.33657        3.883        0.000        0.000    -0.002    -0.013     0.019 3      2.71000    0.51310  205.05940
 34329.050000 2047   22 18 07.77753  114 11 19.33657        3.884        0.000        0.000    -0.009    -0.008     0.003 3      2.70370    0.51780  205.05900
 34329.150000 2047   22 18 07.77750  114 11 19.33656        3.886        0.000        0.000    -0.002    -0.016     0.021 3      2.71240    0.51450  205.05920
 34329.250000 2047   22 18 07.77746  114 11 19.33655        3.887        0.000        0.000    -0.009    -0.009     0.004 3      2.70530    0.51930  205.05940
 34329.350000 2047   22 18 07.77742  114 11 19.33655        3.888        0.000        0.000    -0.001    -0.012     0.022 3      2.71180    0.51690  205.05850
 34329.450000 2047   22 18 07.77739  114 11 19.33654        3.889        0.000        0.000    -0.009    -0.008     0.003 3      2.70690    0.51780  205.06040
 34329.550000 2047   22 18 07.77735  114 11 19.33653        3.890        0.000        0.000    -0.005    -0.011     0.022 3      2.71210    0.51600  205.05920
 34329.650000 2047   22 18 07.77731  114 11 19.33652        3.891        0.000        0.000    -0.007    -0.009     0.000 3      2.70620    0.51460  205.06000
 34329.750000 2047   22 18 07.77727  114 11 19.33652        3.893        0.000        0.000    -0.006    -0.015     0.024 3      2.71110    0.51400  205.05900
 34329.850000 2047   22 18 07.77723  114 11 19.33651        3.894        0.000        0.000    -0.006    -0.011    -0.002 3      2.70530    0.51870  205.06030
 34329.950000 2047   22 18 07.77718  114 11 19.33650        3.895        0.000        0.000    -0.005    -0.014     0.025 3      2.71050    0.51530  205.05930
 34330.050000 2047   22 18 07.77715  114 11 19.33650        3.896        0.000        0.000    -0.001    -0.006    -0.003 3      2.70590    0.52630  205.05920
 34330.150000 2047   22 18 07.77716  114 11 19.33650        3.896        0.000        0.000    -0.002    -0.004     0.024 3      2.70810    0.52500  205.05880
 34330.250000 2047   22 18 07.77716  114 11 19.33650        3.897        0.000        0.000    -0.002    -0.002    -0.002 3      2.70240    0.52360  205.05910
 34330.350000 2047   22 18 07.77716  114 11 19.33651        3.897        0.000        0.000    -0.003    -0.006     0.027 3      2.70670    0.52190  205.05810
 34330.450000 2047   22 18 07.77716  114 11 19.33651        3.898        0.000        0.000    -0.002    -0.004    -0.003 3      2.70070    0.52360  205.05980
 34330.550000 2047   22 18 07.77716  114 11 19.33651        3.898        0.000        0.000    -0.004    -0.007     0.027 3      2.70550    0.52190  205.05820
 34330.650000 2047   22 18 07.77716  114 11 19.33652        3.899        0.000        0.000     0.001    -0.008    -0.002 3      2.70170    0.52520  205.05960
 34330.750000 2047   22 18 07.77717  114 11 19.33652        3.899        0.000        0.000    -0.004    -0.005     0.025 3      2.70490    0.52600  205.05930
 34330.850000 2047   22 18 07.77717  114 11 19.33652        3.900        0.000        0.000     0.001    -0.006    -0.005 3      2.70160    0.52460  205.05940
 34330.950000 2047   22 18 07.77717  114 11 19.33653        3.900        0.000        0.000    -0.005    -0.005     0.027 3      2.70380    0.52370  205.05900
 34331.050000 2047   22 18 07.77717  114 11 19.33653        3.901        0.000        0.000     0.003     0.000    -0.008 3      2.70040    0.52810  205.05860
 34331.150000 2047   22 18 07.77717  114 11 19.33654        3.901        0.000        0.000    -0.004    -0.003     0.021 3      2.70410    0.52540  205.05800
 34331.250000 2047   22 18 07.77718  114 11 19.33654        3.902        0.000        0.000     0.004    -0.006    -0.008 3      2.70130    0.52580  205.05910
 34331.350000 2047   22 18 07.77718  114 11 19.33655        3.902        0.000        0.000    -0.003    -0.003     0.020 3      2.70190    0.52750  205.05810
 34331.450000 2047   22 18 07.77718  114 11 19.33655        3.902        0.000        0.000     0.008    -0.007    -0.009 3      2.70250    0.52770  205.05940
 34331.550000 2047   22 18 07.77719  114 11 19.33656        3.903        0.000        0.000    -0.004    -0.002     0.020 3      2.70120    0.53080  205.05880
 34331.650000 2047   22 18 07.77719  114 11 19.33657        3.903        0.000        0.000     0.008    -0.004    -0.006 3      2.70030    0.52740  205.05940
 34331.750000 2047   22 18 07.77719  114 11 19.33658        3.903        0.000        0.000    -0.007     0.001     0.016 3      2.70330    0.52580  205.05830
 34331.850000 2047   22 18 07.77719  114 11 19.33658        3.903        0.000        0.000     0.006    -0.004    -0.005 3      2.70210    0.52550  205.05950
 34331.950000 2047   22 18 07.77720  114 11 19.33659        3.903        0.000        0.000    -0.006    -0.001     0.015 3      2.70010    0.52580  205.05810
 34332.050000 2047   22 18 07.77720  114 11 19.33660        3.904        0.000        0.000     0.005    -0.008    -0.004 3      2.70550    0.52480  205.05910
 34332.150000 2047   22 18 07.77720  114 11 19.33661        3.904        0.000        0.000    -0.008    -0.001     0.017 3      2.70180    0.53000  205.05930
 34332.250000 2047   22 18 07.77720  114 11 19.33661        3.904        0.000        0.000     0.008    -0.006    -0.004 3      2.70530    0.52820  205.05930
 34332.350000 2047   22 18 07.77721  114 11 19.33662        3.904        0.000        0.000    -0.007     0.000     0.015 3      2.70170    0.53170  205.05990
 34332.450000 2047   22 18 07.77721  114 11 19.33663        3.904        0.000        0.000     0.007    -0.003    -0.001 3      2.70090    0.52930  205.06030
 34332.550000 2047   22 18 07.77721  114 11 19.33663        3.905        0.000        0.000    -0.009     0.004     0.012 3      2.69810    0.52940  205.06000
 34332.650000 2047   22 18 07.77721  114 11 19.33664        3.905        0.000        0.000     0.004    -0.004     0.003 3      2.70450    0.52600  205.05980
 34332.750000 2047   22 18 07.77722  114 11 19.33664        3.905        0.000        0.000    -0.007     0.002     0.010 3      2.69900    0.52840  205.06000
 34332.850000 2047   22 18 07.77722  114 11 19.33664        3.905        0.000        0.000     0.007    -0.006     0.004 3      2.70320    0.52580  205.05950
 34332.950000 2047   22 18 07.77722  114 11 19.33665        3.906        0.000        0.000    -0.006    -0.001     0.009 3      2.69610    0.53060  205.06020
 34333.050000 2047   22 18 07.77722  114 11 19.33665        3.906        0.000        0.000     0.006     0.000     0.006 3      2.70430    0.52970  205.05880
 34333.150000 2047   22 18 07.77723  114 11 19.33666        3.906        0.000        0.000    -0.010     0.007     0.005 3      2.70410    0.53210  205.06000
 34333.250000 2047   22 18 07.77723  114 11 19.33666        3.906        0.000        0.000     0.006    -0.002     0.007 3      2.70840    0.52860  205.05960
 34333.350000 2047   22 18 07.77723  114 11 19.33666        3.907        0.000        0.000    -0.011     0.008     0.008 3      2.70420    0.52850  205.05840
 34333.450000 2047   22 18 07.77723  114 11 19.33667        3.907        0.000        0.000     0.005    -0.002     0.004 3      2.71130    0.52360  205.05950
 34333.550000 2047   22 18 07.77724  114 11 19.33667        3.907        0.000        0.000    -0.009     0.002     0.009 3      2.70750    0.53060  205.05840
 34333.650000 2047   22 18 07.77724  114 11 19.33667        3.907        0.000        0.000     0.006    -0.004     0.004 3      2.70900    0.52650  205.05880
 34333.750000 2047   22 18 07.77724  114 11 19.33667        3.908        0.000        0.000    -0.007     0.002     0.008 3      2.70540    0.53050  205.05920
 34333.850000 2047   22 18 07.77725  114 11 19.33667        3.908        0.000        0.000     0.007    -0.003     0.003 3      2.71130    0.52880  205.05870
 34333.950000 2047   22 18 07.77725  114 11 19.33667        3.908        0.000        0.000    -0.008     0.005     0.008 3      2.70450    0.53020  205.05920
 34334.050000 2047   22 18 07.77725  114 11 19.33668        3.908        0.000        0.000     0.004    -0.001     0.004 3      2.71410    0.52370  205.05970
 34334.150000 2047   22 18 07.77726  114 11 19.33668        3.909        0.000        0.000    -0.011     0.006     0.008 3      2.70750    0.52970  205.06050
 34334.250000 2047   22 18 07.77726  114 11 19.33668        3.909        0.000        0.000     0.004    -0.001     0.004 3      2.71220    0.52510  205.05990
 34334.350000 2047   22 18 07.77726  114 11 19.33668        3.909        0.000        0.000    -0.010     0.002     0.007 3      2.70790    0.52690  205.06080
 34334.450000 2047   22 18 07.77727  114 11 19.33668        3.909        0.000        0.000     0.005    -0.004     0.001 3      2.71290    0.52620  205.06070
 34334.550000 2047   22 18 07.77727  114 11 19.33668        3.910        0.000        0.000    -0.008     0.002     0.011 3      2.70710    0.53040  205.06070
 34334.650000 2047   22 18 07.77727  114 11 19.33668        3.910        0.000        0.000     0.006    -0.004    -0.003 3      2.71420    0.52620  205.06060
 34334.750000 2047   22 18 07.77728  114 11 19.33668        3.910        0.000        0.000    -0.008     0.004     0.013 3      2.70940    0.53100  205.06110
 34334.850000 2047   22 18 07.77728  114 11 19.33668        3.910        0.000        0.000     0.006     0.001    -0.003 3      2.71200    0.52710  205.06130
 34334.950000 2047   22 18 07.77728  114 11 19.33668        3.911        0.000        0.000    -0.011     0.004     0.014 3      2.70940    0.52680  205.06050
 34335.050000 2047   22 18 07.77729  114 11 19.33668        3.911        0.000        0.000     0.003    -0.001    -0.003 3      2.71230    0.52470  205.06080
 34335.150000 2047   22 18 07.77729  114 11 19.33668        3.911        0.000        0.000    -0.010     0.005     0.014 3      2.70680    0.52700  205.06030
 34335.250000 2047   22 18 07.77729  114 11 19.33668        3.911        0.000        0.000     0.004    -0.005    -0.003 3      2.71210    0.52420  205.06050
 34335.350000 2047   22 18 07.77730  114 11 19.33668        3.911        0.000        0.000    -0.010     0.002     0.011 3      2.70510    0.52900  205.06040
 34335.450000 2047   22 18 07.77730  114 11 19.33668        3.912        0.000        0.000     0.007    -0.001     0.000 3      2.71040    0.52570  205.05990
 34335.550000 2047   22 18 07.77730  114 11 19.33668        3.912        0.000        0.000    -0.009     0.004     0.011 3      2.70720    0.52900  205.06060
 34335.650000 2047   22 18 07.77731  114 11 19.33668        3.912        0.000        0.000     0.005     0.000     0.000 3      2.71020    0.52610  205.06070
 34335.750000 2047   22 18 07.77731  114 11 19.33668        3.912        0.000        0.000    -0.009     0.007     0.013 3      2.70520    0.52540  205.06010
 34335.850000 2047   22 18 07.77731  114 11 19.33668        3.913        0.000        0.000     0.003    -0.002    -0.002 3      2.71030    0.52210  205.06050
 34335.950000 2047   22 18 07.77732  114 11 19.33667        3.913        0.000        0.000    -0.012     0.004     0.014 3      2.70450    0.52610  205.06030
 34336.050000 2047   22 18 07.77732  114 11 19.33667        3.913        0.000        0.000     0.006    -0.003    -0.001 3      2.70690    0.52070  205.05990
 34336.150000 2047   22 18 07.77732  114 11 19.33667        3.913        0.000        0.000    -0.010     0.001     0.015 3      2.70300    0.52630  205.06020
 34336.250000 2047   22 18 07.77733  114 11 19.33667        3.914        0.000        0.000     0.006    -0.002    -0.001 3      2.70790    0.52490  205.06090
 34336.350000 2047   22 18 07.77733  114 11 19.33667        3.914        0.000        0.000    -0.007     0.005     0.016 3      2.70230    0.52530  205.06050
 34336.450000 2047   22 18 07.77733  114 11 19.33667        3.914        0.000        0.000     0.006    -0.002    -0.002 3      2.70560    0.52340  205.06090
 34336.550000 2047   22 18 07.77734  114 11 19.33666        3.914        0.000        0.000    -0.010     0.005     0.015 3      2.70000    0.52650  205.06130
 34336.650000 2047   22 18 07.77734  114 11 19.33666        3.915        0.000        0.000     0.005     0.000    -0.002 3      2.70310    0.52080  205.06090
 34336.750000 2047   22 18 07.77734  114 11 19.33666        3.915        0.000        0.000    -0.010     0.001     0.016 3      2.70000    0.52400  205.06100
 34336.850000 2047   22 18 07.77734  114 11 19.33666        3.915        0.000        0.000     0.005    -0.003    -0.002 3      2.70300    0.52410  205.06190
 34336.950000 2047   22 18 07.77735  114 11 19.33666        3.916        0.000        0.000    -0.008     0.001     0.018 3      2.69940    0.52440  205.06090
 34337.050000 2047   22 18 07.77735  114 11 19.33665        3.916        0.000        0.000     0.006    -0.004    -0.003 3      2.70350    0.52410  205.06090
 34337.150000 2047   22 18 07.77735  114 11 19.33665        3.916        0.000        0.000    -0.009     0.006     0.020 3      2.69980    0.52800  205.06120
 34337.250000 2047   22 18 07.77736  114 11 19.33665        3.916        0.000        0.000     0.005     0.001    -0.004 3      2.70220    0.52300  205.06100
 34337.350000 2047   22 18 07.77736  114 11 19.33665        3.917        0.000        0.000    -0.010     0.004     0.021 3      2.70140    0.52330  205.06060
 34337.450000 2047   22 18 07.77736  114 11 19.33665        3.917        0.000        0.000     0.003     0.002    -0.005 3      2.70230    0.52260  205.06120
 34337.550000 2047   22 18 07.77737  114 11 19.33664        3.917        0.000        0.000    -0.008     0.003     0.023 3      2.70110    0.52120  205.06010
 34337.650000 2047   22 18 07.77737  114 11 19.33664        3.918        0.000        0.000     0.003    -0.003    -0.006 3      2.70290    0.52110  205.06100
 34337.750000 2047   22 18 07.77737  114 11 19.33664        3.918        0.000        0.000    -0.009     0.003     0.024 3      2.70050    0.52500  205.06070
 34337.850000 2047   22 18 07.77737  114 11 19.33664        3.918        0.000        0.000     0.006    -0.001    -0.004 3      2.70330    0.52250  205.06050
 34337.950000 2047   22 18 07.77738  114 11 19.33663        3.919        0.000        0.000    -0.007     0.002     0.023 3      2.70220    0.52550  205.06070
 34338.050000 2047   22 18 07.77738  114 11 19.33663        3.919        0.000        0.000     0.005     0.003    -0.004 3      2.70210    0.52390  205.06140
 34338.150000 2047   22 18 07.77738  114 11 19.33663        3.919        0.000        0.000    -0.009     0.006     0.024 3      2.70160    0.52200  205.06000
 34338.250000 2047   22 18 07.77739  114 11 19.33663        3.919        0.000        0.000     0.003     0.000    -0.003 3      2.70350    0.52050  205.06120
 34338.350000 2047   22 18 07.77739  114 11 19.33662        3.920        0.000        0.000    -0.010     0.006     0.023 3      2.70080    0.52250  205.06070
 34338.450000 2047   22 18 07.77739  114 11 19.33662        3.920        0.000        0.000     0.003    -0.002    -0.002 3      2.70290    0.51950  205.06070
 34338.550000 2047   22 18 07.77740  114 11 19.33662        3.920        0.000        0.000    -0.009     0.001     0.023 3      2.70120    0.52290  205.06050
 34338.650000 2047   22 18 07.77740  114 11 19.33662        3.921        0.000        0.000     0.004     0.000    -0.003 3      2.70300    0.52300  205.06120
 34338.750000 2047   22 18 07.77740  114 11 19.33661        3.921        0.000        0.000    -0.007     0.003     0.026 3      2.70340    0.52170  205.06020
 34338.850000 2047   22 18 07.77740  114 11 19.33661        3.922        0.000        0.000     0.004     0.001    -0.003 3      2.70350    0.52170  205.06150
 34338.950000 2047   22 18 07.77741  114 11 19.33661        3.922        0.000        0.000    -0.008     0.007     0.027 3      2.70280    0.52190  205.06030
 34339.050000 2047   22 18 07.77741  114 11 19.33661        3.922        0.000        0.000     0.004     0.001    -0.004 3      2.70150    0.51430  205.06060
 34339.150000 2047   22 18 07.77741  114 11 19.33660        3.923        0.000        0.000    -0.008     0.001     0.026 3      2.70060    0.51750  205.06060
 34339.250000 2047   22 18 07.77742  114 11 19.33660        3.923        0.000        0.000     0.004    -0.002    -0.003 3      2.70070    0.51680  205.06080
 34339.350000 2047   22 18 07.77742  114 11 19.33660        3.923        0.000        0.000    -0.007    -0.001     0.027 3      2.70010    0.51650  205.06000
 34339.450000 2047   22 18 07.77742  114 11 19.33660        3.924        0.000        0.000     0.006    -0.004    -0.003 3      2.70180    0.51990  205.06140
 34339.550000 2047   22 18 07.77743  114 11 19.33659        3.924        0.000        0.000    -0.006     0.002     0.028 3      2.70140    0.52020  205.06050
 34339.650000 2047   22 18 07.77743  114 11 19.33659        3.925        0.000        0.000     0.006     0.000    -0.003 3      2.70180    0.51670  205.06110
 34339.750000 2047   22 18 07.77743  114 11 19.33659        3.925        0.000        0.000    -0.006     0.003     0.027 3      2.70210    0.51850  205.06060
 34339.850000 2047   22 18 07.77744  114 11 19.33659        3.925        0.000        0.000     0.003     0.002    -0.004 3      2.69980    0.51780  205.06150
 34339.950000 2047   22 18 07.77744  114 11 19.33658        3.926        0.000        0.000    -0.006     0.001     0.028 3      2.70140    0.51500  205.06000
 34340.050000 2047   22 18 07.77744  114 11 19.33658        3.926        0.000        0.000     0.004    -0.003    -0.006 3      2.69900    0.51620  205.06130
 34340.150000 2047   22 18 07.77744  114 11 19.33658        3.927        0.000        0.000    -0.003    -0.001     0.028 3      2.69920    0.51680  205.06020
 34340.250000 2047   22 18 07.77745  114 11 19.33658        3.927        0.000        0.000     0.005    -0.005    -0.005 3      2.69860    0.51610  205.06060
 34340.350000 2047   22 18 07.77745  114 11 19.33657        3.927        0.000        0.000    -0.004    -0.002     0.027 3      2.69990    0.51860  205.06120
 34340.450000 2047   22 18 07.77745  114 11 19.33657        3.928        0.000        0.000     0.005     0.000    -0.005 3      2.69780    0.51730  205.06150
 34340.550000 2047   22 18 07.77745  114 11 19.33657        3.928        0.000        0.000    -0.004     0.001     0.028 3      2.69940    0.51370  205.06020
 34340.650000 2047   22 18 07.77746  114 11 19.33657        3.929        0.000        0.000     0.002    -0.001    -0.006 3      2.69720    0.51610  205.06180
 34340.750000 2047   22 18 07.77746  114 11 19.33656        3.929        0.000        0.000    -0.004     0.000     0.027 3      2.69910    0.51340  205.06080
 34340.850000 2047   22 18 07.77746  114 11 19.33656        3.929        0.000        0.000     0.002    -0.004    -0.006 3      2.69730    0.51320  205.06170
 34340.950000 2047   22 18 07.77746  114 11 19.33656        3.930        0.000        0.000    -0.003    -0.005     0.028 3      2.69840    0.51510  205.06060
 34341.050000 2047   22 18 07.77746  114 11 19.33656        3.930        0.000        0.000     0.005    -0.003    -0.007 3      2.69630    0.51850  205.06090
 34341.150000 2047   22 18 07.77746  114 11 19.33656        3.931        0.000        0.000    -0.001    -0.004     0.027 3      2.69980    0.51640  205.05990
