
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34147.000000 2047   22 18 07.67878  114 11 25.43122        2.874        0.000        0.000     0.000    -0.007    -0.003 3     -1.99520    0.57410  138.17630
 34147.100000 2047   22 18 07.67878  114 11 25.43121        2.873        0.000        0.000     0.007     0.003    -0.016 3     -1.99140    0.57420  138.17680
 34147.200000 2047   22 18 07.67878  114 11 25.43119        2.872        0.000        0.000    -0.003    -0.004    -0.008 3     -1.99810    0.57710  138.17640
 34147.300000 2047   22 18 07.67878  114 11 25.43118        2.871        0.000        0.000     0.005     0.001    -0.013 3     -1.98980    0.57380  138.17600
 34147.400000 2047   22 18 07.67877  114 11 25.43115        2.870        0.000        0.000    -0.005    -0.005    -0.013 3     -1.99480    0.57730  138.17640
 34147.500000 2047   22 18 07.67878  114 11 25.43113        2.868        0.000        0.000     0.000     0.001    -0.012 3     -1.99240    0.57840  138.17620
 34147.600000 2047   22 18 07.67878  114 11 25.43111        2.867        0.000        0.000    -0.004    -0.006    -0.018 3     -1.99870    0.58010  138.17470
 34147.700000 2047   22 18 07.67878  114 11 25.43109        2.866        0.000        0.000     0.004    -0.001    -0.007 3     -1.99170    0.57690  138.17570
 34147.800000 2047   22 18 07.67878  114 11 25.43106        2.864        0.000        0.000    -0.002     0.000    -0.023 3     -1.99760    0.58430  138.17670
 34147.900000 2047   22 18 07.67878  114 11 25.43104        2.863        0.000        0.000     0.004    -0.001    -0.006 3     -1.99270    0.59410  138.17650
 34148.000000 2047   22 18 07.67878  114 11 25.43102        2.861        0.000        0.000     0.000    -0.003    -0.022 3     -1.99780    0.59370  138.17530
 34148.100000 2047   22 18 07.67880  114 11 25.43101        2.862        0.000        0.000    -0.001     0.002     0.004 3     -1.99520    0.59500  138.17650
 34148.200000 2047   22 18 07.67883  114 11 25.43100        2.863        0.000        0.000    -0.001     0.004    -0.016 3     -1.99910    0.59890  138.17810
 34148.300000 2047   22 18 07.67885  114 11 25.43100        2.864        0.000        0.000    -0.003    -0.001     0.005 3     -1.99820    0.59630  138.17600
 34148.400000 2047   22 18 07.67888  114 11 25.43100        2.865        0.000        0.000     0.003     0.004    -0.018 3     -1.99730    0.59440  138.17720
